Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1c7sA02,379,0.1099176807444523,0.1608519321870337,0.930225237822094,0.8239858633912591,0.0065590551181102
1c7sA02,413,0.1317717602372874,0.1889282722550185,0.8837893386567377,0.8525370122926453,0.0107176237116702
1c7sA02,450,0.1124453193350831,0.1456903588109243,0.7422616137724933,0.8607655918910465,0.0377256820170206
1c7sA04,320,0.016060606060606,0.0314305390962164,,,0.016060606060606
1c7sA04,348,0.0227425772880318,0.0391490808767631,0.2630366826916442,0.2481094411888525,0.0227021732476277
1c7sA04,379,0.0466169268441995,0.0602516031873772,0.7061507336617109,0.6160614931501424,0.0465593816957453
1c7sA04,413,0.0527482399755127,0.0691904739235847,0.3853746637905985,0.6737150633817277,0.0476334557698194
1c7sA04,450,0.0671602387511478,0.0841217860310942,0.727161513031831,0.7189757406826591,0.0667304866850321
1c8uA01,320,0.0658283475783475,0.1173117501867892,0.9304781349226648,0.8485586280779175,0.0478861046361046
1c8uA01,348,0.0715180652680652,0.1196125794245779,0.9003681445248184,0.8587815797388278,0.0336742424242424
1c8uA01,379,0.0730486664498292,0.1115208603785977,0.9161219668726204,0.910306220627614,0.0046634276576137
1c8uA01,413,0.0982000129500129,0.1451047005936632,0.7206554657656089,0.857146627856863,0.035294807044807
1c8uA01,450,0.0875320512820512,0.1066806571436617,0.6928959044086439,0.820521479242832,0.0736684149184149
1ca1A01,320,0.1188304862579281,0.1653206096157523,0.9388923292829352,0.9204717377164856,0.0025604651162789
1ca1A01,348,0.1248287676767676,0.1739261264710906,0.9269547652653908,0.9285827042313104,0.0388937373737374
1ca1A01,379,0.152660606060606,0.208714286630135,0.8990747665021914,0.9180573206456702,0.0834545454545455
1ca1A01,413,0.2107110014430014,0.2724126931980286,0.8277802689472946,0.8541724628240686,0.1357161154401154
1ca1A01,450,0.1891518787878787,0.2555590638709958,0.8676378452094397,0.8590970636793647,0.1177814545454545
1cb5A01,320,0.1293311344698121,0.2002553799516409,0.9093198116067992,0.876758298692209,0.0278426715915311
1cb5A01,348,0.1631614146452051,0.2430543717975127,0.8660990381224629,0.8452424894424418,0.0593074132849693
1cb5A01,379,0.1838023598509012,0.2573210922392303,0.8447960357843883,0.836672701034902,0.0801478597375483
1cb5A01,413,0.2013058263432328,0.2775446503804443,0.8115487433057418,0.8200198703186211,0.0933144411698027
1cb5A01,450,0.1652573112672863,0.2304949789626052,0.7467323646726921,0.7607415515852394,0.0582022217184311
1ceeB00,320,0.1116718027734977,0.1479829954493041,0.888733201457259,0.6785391221199091,0.0445223420647149
1ceeB00,348,0.0892284833810257,0.1133258313800599,0.9236953470654594,0.793528897868463,0.0549552424976153
1ceeB00,379,0.0701540832049306,0.0878833526965593,0.9398196647924668,0.7753777172818792,0.055130970724191
1ceeB00,413,0.0942295839753467,0.1120464273281999,0.8510625741749401,0.8450579428061267,0.0910246533127888
1ceeB00,450,0.0991602465331279,0.1202459454917291,0.8654031517674495,0.6925041418255857,0.0990523882896764
1ceuA00,320,0.1481550802139037,0.2184178480440428,0.7109051021630172,0.7860870537680389,0.0515953654188948
1ceuA00,348,0.1256185383244206,0.1642868043328958,0.6906474991577368,0.7849400119596709,0.0707443058031293
1ceuA00,379,0.1290503069914834,0.1681566607287357,0.4774901981423836,0.6432326234221104,0.0697383640324816
1ceuA00,413,0.1426827094474153,0.17448239307574,0.3418906772592591,0.5873876363968779,0.100632798573975
1ceuA00,450,0.08923192711428,0.1192536443159764,0.6116147545671742,0.7347754236287677,0.0871760744701921
1chzA00,320,0.0426423611111111,0.1167630904143465,0.9386158051889264,0.7474008542257895,0.030122159090909
1chzA00,348,0.0462171717171717,0.1012752515020545,0.9545916133585416,0.6396786400612363,0.0163188131313131
1chzA00,379,0.0768585858585858,0.1219945467136318,0.9462781820938472,0.606946729637617,0.0126196338383838
1chzA00,413,0.114858428030303,0.1758026646392433,0.9284077337032156,0.5676523538435776,0.006232481060606
1chzA00,450,0.0895318813131313,0.1360002015521006,0.9057661170818728,0.5686116947843899,0.013841856060606
1cywA00,320,0.056338034432374,0.1379480621325014,0.9126173953648116,0.7904733458177643,0.0223033479448573
1cywA00,348,0.0598957499523537,0.1286802923182515,0.9105310088114588,0.7899308431267166,0.0286815958325392
1cywA00,379,0.0685047963915888,0.1206724608452124,0.913550392381933,0.801405336101517,0.0272170764246235
1cywA00,413,0.0835568059797236,0.1254477567303392,0.8831798258661152,0.7606121357562203,0.0297870482707113
1cywA00,450,0.0724481926180039,0.0972237861822944,0.7980486619984815,0.8334770722504888,0.0466104440632742
1d0bA00,320,0.1187733442081268,0.2700115689024572,0.7316308426493333,0.8024595204183368,0.1107011104837191
1d0bA00,348,0.1195454386116912,0.2620851489246843,0.7156802955523411,0.8423809934281539,0.1088365733645236
1d0bA00,379,0.1421014492753623,0.2447137094173427,0.5974345373995138,0.7849348805865445,0.0854259991216513
1d0bA00,413,0.1556082564778217,0.228674338586819,0.4122310513704293,0.6704806380658781,0.0497101449275362
1d0bA00,450,0.1188493631971892,0.140194541698664,0.45760137212211,0.6168440299994735,0.0753667105841019
1d2nA02,320,0.1327175809265361,0.1996547952129102,0.8993203493601267,0.844641026855487,0.0654542439318558
1d2nA02,348,0.0916630483943916,0.1280126316560564,0.9438464661154256,0.8626757918530124,0.0186261980142578
1d2nA02,379,0.123880144730891,0.1598462508117301,0.9320776201974534,0.8901562704143761,0.0746092265943012
1d2nA02,413,0.082960952811699,0.0995596786002239,0.933382956263312,0.9312298121275076,0.0041453339363787
1d2nA02,450,0.0956580732700135,0.1160705369901113,0.8570447609806485,0.8591423325361482,0.0910176390773406
1dh3A00,320,0.145047619047619,0.1838710832207544,0.4336839209212065,0.3090527853984562,0.0549759937032665
1dh3A00,348,0.0604593503747837,0.0783816162709677,0.7599324731144621,0.6835059836514411,0.0351635594849125
1dh3A00,379,0.0910269528125833,0.1174031071101134,0.4881072694237921,0.3907526741816621,0.0820251932817914
