Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1d2nA02,348,0.0911289224871314,0.1245366779347859,0.9465763865431246,0.8630466034437879,0.0031648467618616
1d2nA02,379,0.1189810040705562,0.1492611154481708,0.9413334050916524,0.909678085445645,0.0677435549525101
1d2nA02,413,0.0690269862807176,0.0871358379339968,0.9467243567504776,0.937822140221645,0.0077274234886175
1d2nA02,450,0.1917367706919946,0.2182697979557462,0.943252878434536,0.9512751485043835,0.1904206241519674
1dkyB02,320,0.2370344622697564,0.288474008200939,0.8334071281363178,0.7788179657681573,0.2036203208556151
1dkyB02,348,0.2745074272133095,0.3183170748507252,0.8400274544756052,0.8101366790095588,0.240153000594177
1dkyB02,379,0.2005632798573975,0.2453519484320893,0.7925150839198652,0.8188165772267918,0.172562091503268
1dkyB02,413,0.084796642899584,0.1055282065838829,0.8135220300541486,0.8506021379887414,0.0480940285204992
1dkyB02,450,0.165636660724896,0.1854988092194937,0.8284884302968557,0.8229983834212533,0.1651411170528817
1e0bA00,320,0.0923689352541811,0.1514940946012709,0.9035149789495952,0.8791951470160455,0.023278026163272
1e0bA00,348,0.089232735282678,0.154536133345503,0.903092571211741,0.8947619713394454,0.0242521016493566
1e0bA00,379,0.0537304594962674,0.0782601820917156,0.9404925665050906,0.8137413751689923,0.0007422096508747
1e0bA00,413,0.0744851796655075,0.1250879306357851,0.77118236110165,0.72305578663934,0.0524103328365623
1e0bA00,450,0.0918416956449743,0.1236952672527802,0.7591993335093142,0.6490155412747749,0.0756005961251863
1e1gA00,320,0.3523249805749806,0.4410542400801299,0.4561098983656552,0.4659938590964828,0.2064547397047397
1e1gA00,348,0.3791628787878788,0.476189735693465,0.3953793708063111,0.4408798115044714,0.2517699106449105
1e1gA00,379,0.3101356837606838,0.3999761845569083,0.3606191652951128,0.3294140873097542,0.1623474164724165
1e1gA00,413,0.2417693278943279,0.3181436704925656,0.5131657936394485,0.5235736565106568,0.1301314102564102
1e1gA00,450,0.1028389388389388,0.1251985206208268,0.5964381885494949,0.6562082179129561,0.0781172716172716
1e9rA02,320,0.2657008134441763,0.3437459426698534,0.7292556243933139,0.8315580322790387,0.1810178778939841
1e9rA02,348,0.2376552248145168,0.2960350417201196,0.7935672805788496,0.8453178281565636,0.175649325109502
1e9rA02,379,0.2642508975326427,0.3213126008230098,0.7955240674688308,0.8179085299819606,0.2034686773060923
1e9rA02,413,0.1202059533386967,0.1633228650542214,0.8190308157346297,0.8406611568780913,0.0586385983731115
1e9rA02,450,0.0912115848753016,0.1168415278100622,0.7353912366673928,0.8020825701674394,0.0542830070617681
1epwA01,320,0.2096689497716895,0.2841087607508677,0.7570864107052376,0.617570658090633,0.0346357409713573
1epwA01,348,0.2035593498066461,0.2778586265095087,0.7344664272044785,0.5818152879048306,0.0305635664503725
1ex0A03,320,0.0285824029771398,0.0817813683334294,0.831060817095418,0.662049068253638,0.0089564947722842
1ex0A03,348,0.027987240829346,0.0718980778189052,0.8746758741105731,0.5211686126483542,0.027987240829346
1ex0A03,379,0.0314792663476874,0.0691927054791041,0.8872856391724109,0.6391113558829533,0.0314792663476874
1ex0A03,413,0.0409867978025872,0.0728691935964363,0.8883227016225799,0.5773379277453992,0.0409867978025872
1ex0A03,450,0.0620400560520571,0.0833366693616976,0.8967323557258754,0.5359361213237447,0.0620400560520571
1f3vA00,320,0.1847559409648017,0.2851353266042462,0.8071331544462009,0.8510832367570851,0.0844982830109413
1f3vA00,348,0.2085378810180105,0.3000250445365315,0.817924938993009,0.8581118799382391,0.1202808627933738
1f3vA00,379,0.2137156373865234,0.2964026405257615,0.8285278689288044,0.8505789565487473,0.1161567574478966
1f3vA00,413,0.2425902058560286,0.3173453565018288,0.7935382574880725,0.8417272585615181,0.1202576396880193
1f3vA00,450,0.2612900524229638,0.3374622654313686,0.7354496065048441,0.7442672130847159,0.1478802582789925
1fcdA03,320,0.0692462462462462,0.0883816535590494,0.9609063056441408,0.7442713490378108,0.060030849030849
1fcdA03,348,0.0899082719082719,0.1109543693661851,0.9011282083109948,0.6749107818545279,0.0524212394212394
1fcdA03,379,0.0611656526656526,0.0790318509778411,0.9200073541405251,0.8525626227886993,0.0559790374790375
1fcdA03,413,0.1023250458250458,0.1235824346823377,0.7778765438697909,0.802515982414274,0.1016536991536991
1fcdA03,450,0.0846466201931318,0.1059803964084037,0.864489876638772,0.87977147300287,0.0839618656711679
1g7uA00,320,0.1364750828201532,0.2054297338861187,0.8872500211974657,0.8906774490069379,0.0237641708838892
1g7uA00,348,0.1268638141983212,0.1896170649946936,0.8896703250974319,0.8845076878352788,0.02078186797553
1g7uA00,379,0.1281408907993415,0.1827831111705642,0.8986357328261092,0.8866895681793933,0.0297308853118711
1g7uA00,413,0.1338488405178546,0.1796756018120652,0.914308503726012,0.8988776476804824,0.0389705505761844
1g7uA00,450,0.0853038127756437,0.1164938569159569,0.91453298186835,0.8994951910253771,0.0407849622990467
1gqoB00,320,0.1225482093663912,0.182851249979414,0.9043568462006388,0.9258100117690992,0.0046516211061665
